gene,log2FC,p_adj
SNAP25,-1.4,0.004
MBP,-2.1,0.001
C1QA,1.4,0.02
GFAP,1.6,0.01
SLC17A7,-0.8,0.03
CAMK2A,-1.2,0.008
GAD1,1.1,0.015
PVALB,-1.8,0.002
AIF1,2.3,0.0005
TREM2,1.9,0.001
SOX2,0.5,0.2
TH,-2.5,0.0001
SLC6A3,-1.7,0.003
CHAT,-1.1,0.02
ACHE,-0.6,0.08
TPH2,0.3,0.3
NRGN,-1.5,0.006
SYT1,-1.3,0.01
GRIN1,-0.9,0.04
S100B,1.8,0.008
AQP4,1.5,0.01
ALDH1L1,0.7,0.07
CD68,2.1,0.0008
CX3CR1,1.7,0.002
CSF1R,1.5,0.005
OLIG2,-2.2,0.0003
MOG,-1.9,0.001
PLP1,-2.4,0.0001
NES,0.6,0.15
DCX,0.4,0.25
SST,-1.0,0.03
VIP,0.3,0.2
GABRA1,-0.7,0.05
DRD2,-1.6,0.004
DRD1,-0.5,0.1
DDC,0.2,0.4
NR4A2,-1.3,0.01
SLC5A7,-1.0,0.025
CHRM1,-0.8,0.035
HTR1A,0.4,0.15
HTR2A,0.6,0.1
BDNF,-1.1,0.02
NTRK2,-0.9,0.03
TLR4,1.3,0.015
IL1B,2.0,0.0009
TNF,1.8,0.001
SOD1,-0.3,0.3
CAT,-0.2,0.4
SLC1A2,-0.8,0.04
GLUL,-0.6,0.07
MKI67,0.5,0.2
GAD2,1.2,0.012
CALB1,-0.7,0.06
NPY,0.4,0.18
SLC32A1,-0.9,0.03
TMEM119,1.6,0.003
P2RY12,1.4,0.005
SOX10,-1.5,0.004
MAG,-1.3,0.007
CNP,-1.6,0.002
PROM1,0.3,0.35
ASCL1,0.5,0.2
LMX1A,-0.4,0.1
EN1,-1.1,0.015
CHRNA4,-0.7,0.06
LDB2,0.3,0.3
GATA3,0.5,0.12
FEV,0.2,0.45
SLC6A4,0.6,0.08
GJA1,0.9,0.025
EAAT2,-0.8,0.04
SOX9,-0.5,0.15
NFKB1,1.1,0.02
CCL2,1.7,0.002
IL6,1.5,0.005
HMGB1,0.8,0.04
STAT3,0.7,0.06
VIM,1.2,0.01
NEUROD1,0.4,0.2
NOTCH1,-0.3,0.35
CALM1,-0.6,0.08
CACNA1C,-0.5,0.12
SNCA,-1.0,0.02
SQSTM1,0.7,0.05
BECN1,0.4,0.2
LAMP1,0.5,0.15
GPX1,-0.3,0.3
NFE2L2,-0.4,0.25
HMOX1,0.6,0.1
GAPDH,-0.1,0.8
ACTB,0.1,0.9
RPL13A,-0.2,0.6
B2M,0.2,0.5
18S,-0.1,0.7
