gene,log2FC,pvalue,padj
SLC17A7,-2.3,4.0000e-03,5.3255e-03
CAMK2A,-1.7,2.0000e-02,1.3846e-02
SATB2,0.265,4.4673e-01,4.4673e-01
NRGN,-0.012,8.3686e-01,8.3686e-01
SYT1,-1.5,3.0000e-02,3.6793e-02
GRIN1,0.066,3.8879e-01,3.8879e-01
GRIA1,0.832,8.7131e-01,8.7131e-01
GAD1,-1.6,2.5000e-02,3.5488e-02
GAD2,0.206,5.9416e-01,5.9416e-01
PVALB,-2.1,6.0000e-03,5.9086e-03
SST,0.139,5.1742e-01,5.1742e-01
CALB1,-0.146,6.5860e-01,6.5860e-01
CALB2,-0.407,8.6506e-01,8.6506e-01
VIP,-0.532,2.6462e-01,2.6462e-01
GFAP,2.8,1.0000e-03,1.1783e-03
S100B,2.1,3.0000e-03,1.5512e-03
AQP4,1.8,8.0000e-03,1.0605e-02
ALDH1L1,-0.036,7.8829e-01,7.8829e-01
SLC1A2,0.231,3.9603e-01,3.9603e-01
GLUL,-0.175,3.6553e-01,3.6553e-01
AIF1,3.2,5.0000e-04,6.7309e-04
CD68,2.5,2.0000e-03,2.2531e-03
TMEM119,-0.622,2.0969e-01,2.0969e-01
CX3CR1,0.089,1.1780e-01,1.1780e-01
CSF1R,0.157,2.3635e-01,2.3635e-01
TREM2,1.9,1.0000e-02,9.5706e-03
MBP,-1.4,4.0000e-02,4.9804e-02
OLIG2,0.243,6.8491e-01,6.8491e-01
MOG,-1.2,5.0000e-02,5.3866e-02
PLP1,-0.239,8.7762e-01,8.7762e-01
CNP,-0.432,2.5704e-01,2.5704e-01
SOX10,0.188,3.5180e-01,3.5180e-01
SOX2,1.6,2.0000e-02,1.9758e-02
NES,1.4,3.5000e-02,1.8947e-02
PAX6,0.234,3.8726e-01,3.8726e-01
DCX,-0.153,7.6152e-01,7.6152e-01
ASCL1,0.808,2.7209e-01,2.7209e-01
TH,-0.264,5.8624e-01,5.8624e-01
SLC6A3,0.219,5.0561e-01,5.0561e-01
DRD2,-0.298,7.7826e-01,7.7826e-01
DRD1,0.31,6.8300e-01,6.8300e-01
DDC,-0.27,1.7218e-01,1.7218e-01
NR4A2,0.019,3.1817e-01,3.1817e-01
CHAT,0.305,1.1793e-01,1.1793e-01
ACHE,0.158,2.4556e-01,2.4556e-01
SLC5A7,-0.249,8.7698e-01,8.7698e-01
CHRM1,0.867,3.3226e-01,3.3226e-01
TPH2,0.326,2.0222e-01,2.0222e-01
SLC6A4,-0.232,4.9712e-01,4.9712e-01
HTR1A,-0.489,1.0429e-01,1.0429e-01
HTR2A,0.125,8.4560e-01,8.4560e-01
BDNF,-1.8,1.5000e-02,1.7773e-02
NGF,-0.091,6.9529e-01,6.9529e-01
NTRK2,-1.3,4.0000e-02,4.1041e-02
SNAP25,-0.006,3.1669e-01,3.1669e-01
VAMP2,0.091,8.2618e-01,8.2618e-01
DLG4,-0.437,4.5803e-01,4.5803e-01
TNF,2.7,1.0000e-03,6.3306e-04
IL1B,3.1,8.0000e-04,8.2543e-04
IL6,-0.538,8.6757e-01,8.6757e-01
TLR4,1.5,2.0000e-02,2.0774e-02
NFKB1,0.186,5.9098e-01,5.9098e-01
STAT3,1.8,1.0000e-02,9.2626e-03
LIF,-0.233,8.7252e-01,8.7252e-01
CNTF,0.426,1.5987e-01,1.5987e-01
SNCA,-0.237,6.4929e-01,6.4929e-01
APP,0.402,4.5729e-01,4.5729e-01
MAPT,0.44,5.3384e-01,5.3384e-01
SOD1,1.5,3.0000e-02,1.9799e-02
SOD2,0.222,7.5574e-01,7.5574e-01
CAT,0.1,1.5575e-01,1.5575e-01
GPX1,1.3,5.0000e-02,5.6693e-02
NFE2L2,-0.007,3.6777e-01,3.6777e-01
ACTB,0.18,1.7890e-01,1.7890e-01
GAPDH,0.748,4.0673e-01,4.0673e-01
TP53,-0.128,8.9680e-01,8.9680e-01
MYC,-0.207,8.5599e-01,8.5599e-01
EGFR,-0.287,2.2523e-01,2.2523e-01
ALB,0.11,8.8914e-01,8.8914e-01
KRT14,0.011,3.3645e-01,3.3645e-01
MYH1,-0.24,6.4755e-01,6.4755e-01
HBB,0.071,6.6859e-01,6.6859e-01
HBA1,0.142,4.7975e-01,4.7975e-01
INS,-0.586,5.6274e-01,5.6274e-01
GCG,-0.019,6.2179e-01,6.2179e-01
KRT5,-0.309,6.5084e-01,6.5084e-01
COL1A1,-0.617,4.9230e-01,4.9230e-01
FN1,0.109,5.0779e-01,5.0779e-01
VEGFA,-0.417,7.7517e-01,7.7517e-01
HIF1A,-0.012,8.0625e-01,8.0625e-01
TOP1,0.387,1.1543e-01,1.1543e-01
EIF4A1,0.071,8.8547e-01,8.8547e-01
GAD2,1.2,0.003,0.012
GJA1,1.7,0.005,0.008
CPLX1,-1.4,0.002,0.009
VAMP2,-1.1,0.008,0.025
SNAP25,-1.3,0.01,0.03
NOTCH1,1.1,0.02,0.045
EYA2,-0.8,0.2,0.35
ZNF385D,0.6,0.3,0.5
SNCA,-1.2,0.015,0.035
APP,-0.9,0.04,0.08
